Round: 37, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 38, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 39, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 40, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 41, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 42, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 43, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 44, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 45, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 46, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 47, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 48, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 49, Attack Type: NS Attack, Error: Exception: cannot access local variable 'MBi' where it is not associated with a value, Time: None, NFound: None, Coef: None
